location	street	city	state	zip	lat	lng
State of Missouri: Department of Social Services Greene County Children's Division	149 Park Central Square	Springfield	MO	65806	37.2094975	-93.2925389
State of Missouri: Department of Social Services -- Rehabilitation Services for the Blind (RSB)	"149 Park Central Square, Room 640"	Springfield	MO	65806	37.2094975	-93.2925389
"State of Missouri: Department of Health and Senior Services, Section for Child Care Regulations"	"149 Park Central Square, Suite 116"	Springfield	MO	65806	37.2094975	-93.2925389
"State of Missouri: Department of Health and Senior Services, Southwest District"	"149 Park Central Square, Suite 116"	Springfield	MO	65801-0777	37.2094975	-93.2925389
State of Missouri: Department of Health and Senior Services - Division of Senior and Disability Services	"149 Park Central Square, Suite 244"	Springfield	MO	65806	37.2094975	-93.2925389
The Arc of the Ozarks	1501 E. Pythian St.	Springfield	MO	65802	37.220782	-93.26754
City Utilities: Transit Services	1505 N. Boonville	Springfield	MO	65803	37.2264246	-93.2923529
City Utilities: Access Express	1505 N. Boonville Ave.	Springfield	MO	65803	37.2264246	-93.2923529
"State of Missouri: Department of Mental Health -- Division of Developmental Disabilities, Springfield Regional Office"	1515 E. Pythian St.	Springfield	MO	65802	37.219516	-93.266991
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)"	1515 South Glenstone Ave.	Springfield	MO	65808	37.1867714	-93.2627579
United States: Social Security Administration -- Springfield Office	"1570 W. Battlefield Road, Suite 100"	Springfield	MO	65807	37.1586812	-93.3129939
Safe Kids Springfield	"1570 W. Battlefield Road, Suite 110"	Springfield	MO	65807	37.1586812	-93.3129939
"The Kitchen, Inc."	1630 N. Jefferson Ave.	Springfield	MO	65803	37.2284871	-93.2885761
Caring People	"164 Corporate Drive, Suite T"	Branson	MO	65616	36.687569	-93.218232
The Salvation Army Family Enrichment Center	1707 W. Chestnut Expressway	Springfield	MO	65802-4279	37.2147126	-93.3137767
The Salvation Army: Main Office	1707 W. Chestnut Expressway	Springfield	MO	65802-4279	37.2147126	-93.3137767
The Salvation Army: New Start Housing Program	1707 W. Chestnut Expressway	Springfield	MO	65802-4279	37.2147126	-93.3137767
Child Care Aware® of Southern Missouri/Early Childhood One Stop	1710 E. Chestnut Expressway	Springfield	MO	65804	37.214376	-93.2631279
Child Care Food Program	1710 E. Chestnut Expressway	Springfield	MO	65802	37.214376	-93.2631279
Springfield Victory Mission	1715 N. Boonville Ave.	Springfield	MO	65803	37.2293063	-93.2923319
Victory Trade School	1715 N. Boonville Ave.	Springfield	MO	65803	37.2293063	-93.2923319
The Journey Home Project (Burrell Behavioral Health Homeless Services)	"1720 N. Jefferson Ave., Suite 2"	Springfield	MO	65803	37.2292769	-93.288725
Southwest Missouri Office on Aging (SWMOA)	1735 S. Fort Ave.	Springfield	MO	65807	37.1833922	-93.3095072
State of Missouri: Department of Social Services--Division of Youth Services	"1735 W. Catalpa St., Suite B"	Springfield	MO	65807	37.19411	-93.315979
State of Missouri: Department of Labor and Industrial Relations--Division of Workers Compensation	"1736 E. Sunshine St., Suite 610"	Springfield	MO	65804	37.1806723	-93.2631965
Safe At Home	"1736 E. Sunshine St., Suite 707"	Springfield	MO	65804	37.1806723	-93.2631965
The Salvation Army Family Thrift Store	1737 S. Campbell Ave.	Springfield	MO	65807-2003	37.1837886	-93.2949878
Mercy Marian Center	1845 S. Rogers	Springfield	MO	65804	37.180614	-93.2733306
Musgrave Foundation	"1949 E. Sunshine St., Suite 1-130"	Springfield	MO	65804	37.18273	-93.2589752
Higher Ground Recovery Center	"2032 E. Kearney, Suite 214"	Springfield	MO	65803	37.2392789	-93.2554187
"State of Missouri: Department of Natural Resources, Southwest Regional Office"	2040 W. Woodland St.	Springfield	MO	65807	37.163274	-93.3206639
Ozarks Commute (Regional Rideshare Program)	"205 Park Central East, Suite 205"	Springfield	MO	65806	37.209093	-93.2914644
Lutheran Family and Children's Services of Missouri (LFCS)	2130 N. Glenstone Ave.	Springfield	MO	65803	37.2355288	-93.2602344
Ozarks Area Community Action Corporation (OACAC)	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Ozarks Area Community Action Corporation: Family Planning	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Ozarks Area Community Action Corporation: Foster Grandparent Program	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Ozarks Area Community Action Corporation: Head Start	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Ozarks Area Community Action Corporation: Housing Assistance Program	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Ozarks Area Community Action Corporation: Low-Income Home Energy Assistance Program (LIHEAP)	215 S. Barnes Ave.	Springfield	MO	65802	37.2089414	-93.2536282
Heart of the Ozarks and Hand Extended Outreach Pantry	2157 N. Prospect Ave.	Springfield	MO	65803	37.2365296	-93.273382
Ozarks Technical Community College: Adult Education and Literacy	725 E. Bob Barker Blvd.	Springfield	MO	65802	37.2155178	-93.2796483
City of Springfield: Mayor's Commission for Children	227 E. Chestnut Expressway	Springfield	MO	65802	37.2155185	-93.2919968
"Habitat for Humanity of Springfield, Missouri, Inc."	2410 S. Scenic Ave.	Springfield	MO	65807	37.1709443	-93.3317366
A.O. Treatment Services	2411 W. Catalpa St.	Springfield	MO	65801	37.1945819	-93.3259719
State of Missouri: Department of Mental Health -- Division of Alcohol and Drug Abuse and Comprehensive Psychiatric Services	2600 E. 12th St.	Kansas City	MO	64127	39.0992089	-94.55099
Ozarks Area Community Action Corporation: Weatherization Program	2643 W. College Road	Springfield	MO	65802	37.2111334	-93.3291838
Missouri Career Center	"2720 Shepherd of the Hills Expressway, Suite B"	Branson	MO	65616	36.6539278	-93.2739025
Ashley House (formerly Regional Girls Shelter)	2740 E. Pythian St.	Springfield	MO	65802	37.2167559	-93.240063
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary)	2740 E. Pythian St.	Springfield	MO	65802	37.2167559	-93.240063
"Isabel's House (Crisis Nursery of the Ozarks, Inc.)"	2750 W. Bennett St.	Springfield	MO	65802	37.1897215	-93.3330175
Ozarks Food Harvest	2810 N. Cedarbrook Ave.	Springfield	MO	65801	37.2458783	-93.2358162
Southwest Center for Independent Living	2864 S. Nettleton Ave.	Springfield	MO	65807	37.1620358	-93.311661
Missouri Career Center	2900 E. Sunshine	Springfield	MO	65804	37.1793664	-93.2371583
Republic Pregnancy Resource Center	291 U.S. Highway 60 West	Republic	MO	65738	37.1127925	-93.4842351
United States: Internal Revenue Service	"2937 S. Claremont Ave., Building A, Suite 115"	Springfield	MO	65804	37.1597876	-93.2361815
The Salvation Army Superstore	2944 W. Chestnut Expressway	Springfield	MO	65802-4633	37.2117804	-93.3365289
One Door	300 E. Central	Springfield	MO	65802	37.2171127	-93.2907043
"Good Samaritan Boys Ranch: Laura's Home, Transitional Living for Girls"	300 S. Main	Willard	MO	65781	37.302891	-93.430128
Rare Breed Youth Services	301 N. Main	Springfield	MO	65806	37.2099026	-93.2967626
Community Partnership of the Ozarks	330 N. Jefferson Ave.	Springfield	MO	65806	37.2110879	-93.288964
Educare	330 N. Jefferson Ave.	Springfield	MO	65806	37.2110879	-93.288964
Convoy of Hope	330 S. Patterson Ave.	Springfield	MO	65802	37.2074205	-93.2465672
Big Brothers Big Sisters of the Ozarks	3372 W. Battlefield Road	Springfield	MO	65807	37.1600739	-93.3480408
Children's Miracle Network of CoxHealth	"3525 S. National Ave., Suite 203"	Springfield	MO	65807	37.1509243	-93.2801147
Care to Learn	411 N. Sherman Parkway	Springfield	MO	65802	37.2116755	-93.2818643
Bill's Place -- Burrell Behavioral Health Homeless Services	424 E. Commercial St.	Springfield	MO	65803	37.229613	-93.2879472
"Catholic Charities of Southern Missouri, Inc."	424 E. Monastery St.	Springfield	MO	65807	37.134554	-93.291056
LifeHouse Crisis Maternity Home	424 E. Monastery St.	Springfield	MO	65807	37.134554	-93.291056
Good Samaritan Boys Ranch: Footsteps Transitional Living for Boys	424 E. Norton Road	Springfield	MO	65803	37.251095	-93.287243
Grandparents United For Children's Rights of Missouri	424 E. Stanford St.	Springfield	MO	65807	37.1844109	-93.2896308
"Community Foundation of the Ozarks, Inc."	425 E. Trafficway	Springfield	MO	65801	37.2105194	-93.2886984
Adoptive Families of Southwest Missouri	4349 E. Kensington St.	Springfield	MO	65809	37.167651	-93.204538
Jordan Valley Community Health Center -- Dental	440 E. Tampa St.	Springfield	MO	65806	37.2130676	-93.28829
Jordan Valley Community Health Center--Medical	440 E. Tampa St.	Springfield	MO	65806	37.2130676	-93.28829
"Springfield-Greene County Health Department: Women, Infants and Children Supplemental Nutrition Program (WIC)"	440 E. Tampa St.	Springfield	MO	65806	37.2130676	-93.28829
Lakeland Behavioral Health System	440 S. Market Ave.	Springfield	MO	65806	37.2059061	-93.295249
Ambassadors for Children	"500 W. Battlefield Ave., Suite B"	Springfield	MO	65807	37.1590143	-93.2975117
"Least of These, Inc."	511 W. Kathryn	Nixa	MO	65714	37.0604312	-93.3051704
Good Samaritan Boys Ranch	5549 N. Highway K	Brighton	MO	65617-0617	37.4476526	-93.3452192
Ozarks Area Community Action Corporation: Greene County Center	560-A N. Stewart Ave.	Springfield	MO	65802	37.2130281	-93.2602361
Parenting Life Skills Center (PLSC) - A Great Circle Agency	600 S. Jefferson Ave.	Springfield	MO	65806	37.2037626	-93.2892854
Children's Smile Center	601 N. 21st St.	Ozark 	MO	65721	37.0252681	-93.2325238
"Newborns In Need, Southwestern Missouri Chapter"	6082 Lake Freddie Road	Hartville	MO	65667	37.2842973	-92.536373
Ozarks Counseling Center	614 South Ave.	Springfield	MO	65806	37.203418	-93.291893
Diaper Bank of the Ozarks	615 N. Glenstone	Springfield	MO	65802	37.2132145	-93.2636136
Crosslines	615 N. Glenstone Ave.	Springfield	MO	65802	37.2132145	-93.2636136
Planned Parenthood of Southwest Missouri	626 E. Battlefield Road	Springfield	MO	65807	37.159498	-93.2875728
RSVP Reading Buddy Program	627 N. Glenstone Ave.	Springfield	MO	65808	37.2138923	-93.2632141
The Salvation Army: Day Labor Program	636 N. Boonville Ave.	Springfield	MO	65806	37.2145487	-93.2918749
The Salvation Army: Harbor House	636 N. Boonville Ave.	Springfield	MO	65806	37.2145487	-93.2918749
Springfield-Greene County Health Department: Westside Public Health Center	660 S. Scenic Ave.	Springfield	MO	65802	37.2031073	-93.3304675
"Newborns In Need, Springfield, Missouri Chapter"	712 W. Sunshine Ave.	Springfield	MO	65807	37.1823094	-93.3004876
Veterans Coming Home Center	806 N. Jefferson Ave.	Springfield	MO	65802	37.21667	-93.288973
Legal Services of Southern Missouri	809 N. Campbell Ave.	Springfield	MO	65802	37.216359	-93.2946481
The Victim Center	819 N. Boonville Ave.	Springfield	MO	65802	37.2164292	-93.2926758
Springfield Victory Vintage Thrift Store	824 W. Commercial St.	Springfield	MO	65803	37.2289518	-93.2999417
SafeHaven of the Ozarks	925 E. Seminole St.	Springfield	MO	65807	37.1751519	-93.2828527
"Ronald McDonald Care Mobile (The Tooth Truck"")""""onald McDonal"""	949 E. Primrose St.	Springfield	MO	65807	37.1486469	-93.28214
"Ronald McDonald House Charities® of the Ozarks, Inc."	949 E. Primrose St.	Springfield	MO	65807	37.1486469	-93.28214
CoxHealth Center For Addictions	1423 N. Jefferson Ave.	Springfield	MO	65802	37.22498	-93.289904
Edge Community Technology Center	397 E. Central St.	Springfield	MO	65802	37.2176653	-93.2898327
The Gay and Lesbian Community Center of the Ozarks (GLO)	518 E. Commercial St.	Springfield	MO	65801	37.2297286	-93.2864074
Adoption Triad of the Ozarks	1235 E. Cherokee	Springfield	MO	65804	37.1795739	-93.2749077
State of Missouri: Department of Health and Senior Services -- Bureau of Special Health Care Needs	149 Park Central Square	Springfield	MO	65801	37.2094975	-93.2925389
"Haven of the Ozarks, Inc."	9617 Farm Road	Washburn	MO	65772	36.5932268	-93.9261979
